Year,Crop,Tissue,Feature ID,Treatment,Mean,p-value,Pathway,Superclass,Class
2022,corn,root,90,AP,10144.28,0.000059308,Unclassified,Unclassified,Unclassified
2022,corn,root,90,PP,6186.00,0.000059308,Unclassified,Unclassified,Unclassified
2022,corn,leaf,125,AP,135.77,0.01299259,Alkaloids,Anthranilic acid alkaloids,Benzodiazepine alkaloids
2022,corn,leaf,125,PP,67.05,0.01299259,Alkaloids,Anthranilic acid alkaloids,Benzodiazepine alkaloids
2022,corn,root,133,AP,1656.75,3.50601E-08,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids
2022,corn,root,133,PP,3699.05,3.50601E-08,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids
2022,corn,leaf,133,AP,851.18,0.026978234,Organic acids and derivatives,Small peptides,"Amino acids, peptides, and analogues"
2022,corn,leaf,133,PP,1004.23,0.026978234,Organic acids and derivatives,Small peptides,"Amino acids, peptides, and analogues"
2022,corn,root,178,AP,2226.63,4.74596E-07,Carbohydrates,Nucleosides,Purine nucleos(t)ides
2022,corn,root,178,PP,2902.50,4.74596E-07,Carbohydrates,Nucleosides,Purine nucleos(t)ides
2022,corn,leaf,193,AP,1107.18,7.23728E-06,Alkaloids,Organoheterocyclic compounds,Indoles and derivatives
2022,corn,leaf,193,PP,525.48,7.23728E-06,Alkaloids,Organoheterocyclic compounds,Indoles and derivatives
2022,corn,leaf,194,AP,23550.23,7.78393E-11,Amino acids and Peptides,Organoheterocyclic compounds,Indoles and derivatives
2022,corn,leaf,194,PP,11976.53,7.78393E-11,Amino acids and Peptides,Organoheterocyclic compounds,Indoles and derivatives
2022,corn,leaf,616,AP,2513.41,0.001274678,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,leaf,616,PP,2129.48,0.001274678,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,root,894,AP,12316.95,0.013929384,Shikimates and Phenylpropanoids,Phenanthrenoids,Naphthalenes and derivatives
2022,corn,root,894,PP,13832.70,0.013929384,Shikimates and Phenylpropanoids,Phenanthrenoids,Naphthalenes and derivatives
2022,corn,root,896,AP,6368.28,0.013447678,Shikimates and Phenylpropanoids,Organic oxygen compounds,Coumaric acids and derivatives
2022,corn,root,896,PP,6891.13,0.013447678,Shikimates and Phenylpropanoids,Organic oxygen compounds,Coumaric acids and derivatives
2022,corn,leaf,936,AP,15891.82,0.031351927,Fatty acids,Sphingolipids,Sphingoid bases
2022,corn,leaf,936,PP,19984.25,0.031351927,Fatty acids,Sphingolipids,Sphingoid bases
2022,corn,root,943,AP,1896.13,0.042779592,Shikimates and Phenylpropanoids,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
2022,corn,root,943,PP,2245.93,0.042779592,Shikimates and Phenylpropanoids,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
2022,corn,leaf,1058,AP,3723.33,0.015621359,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Simple phenolic acids
2022,corn,leaf,1058,PP,436.43,0.015621359,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Simple phenolic acids
2022,corn,leaf,1111,AP,16380.92,0.009006053,Fatty acids,Glycerophospholipids,Glycerophosphoethanolamines
2022,corn,leaf,1111,PP,25297.58,0.009006053,Fatty acids,Glycerophospholipids,Glycerophosphoethanolamines
2022,corn,root,1315,AP,1339.45,0.000454415,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
2022,corn,root,1315,PP,2087.98,0.000454415,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
2022,corn,root,1316,AP,3635.63,2.00198E-05,Carbohydrates,Saccharides,Disaccharides
2022,corn,root,1316,PP,2555.98,2.00198E-05,Carbohydrates,Saccharides,Disaccharides
2022,corn,leaf,1316,AP,50293.74,0.000273576,Carbohydrates,Saccharides,Disaccharides
2022,corn,leaf,1316,PP,58505.33,0.000273576,Carbohydrates,Saccharides,Disaccharides
2022,corn,root,1319,AP,228176.55,4.50878E-09,Alkaloids,Pseudoalkaloids,Purine alkaloids
2022,corn,root,1319,PP,184955.15,4.50878E-09,Alkaloids,Pseudoalkaloids,Purine alkaloids
2022,corn,leaf,1336,AP,1445.54,3.72784E-12,Lipids,Glycerophospholipids,Glycerophosphocholines
2022,corn,leaf,1336,PP,5174.18,3.72784E-12,Lipids,Glycerophospholipids,Glycerophosphocholines
2022,corn,root,1340,AP,409542.65,1.45873E-06,Carbohydrates,Saccharides,Monosaccharides
2022,corn,root,1340,PP,374817.18,1.45873E-06,Carbohydrates,Saccharides,Monosaccharides
2022,corn,leaf,1340,AP,288491.77,0.000449171,Carbohydrates,Saccharides,Monosaccharides
2022,corn,leaf,1340,PP,313416.80,0.000449171,Carbohydrates,Saccharides,Monosaccharides
2022,corn,root,1345,AP,2221.23,6.89473E-06,Carbohydrates,Saccharides,Disaccharides
2022,corn,root,1345,PP,1916.58,6.89473E-06,Carbohydrates,Saccharides,Disaccharides
2022,corn,leaf,1345,AP,7480.79,0.00238255,Carbohydrates,Saccharides,Disaccharides
2022,corn,leaf,1345,PP,8415.23,0.00238255,Carbohydrates,Saccharides,Disaccharides
2022,corn,root,1353,AP,3707.58,1.53914E-05,Unclassified,Unclassified,Unclassified
2022,corn,root,1353,PP,3254.08,1.53914E-05,Unclassified,Unclassified,Unclassified
2022,corn,leaf,1353,AP,3414.38,0.056987089,Unclassified,Unclasssified,Unclassified
2022,corn,leaf,1353,PP,3593.65,0.056987089,Unclassified,Unclasssified,Unclassified
2022,corn,root,1354,AP,34848.00,7.36247E-06,Carbohydrates,Saccharides,Disaccharides
2022,corn,root,1354,PP,27724.40,7.36247E-06,Carbohydrates,Saccharides,Disaccharides
2022,corn,leaf,1354,AP,44147.62,7.40306E-05,Carbohydrates,Saccharides,Disaccharides
2022,corn,leaf,1354,PP,49273.90,7.40306E-05,Carbohydrates,Saccharides,Disaccharides
2022,corn,leaf,1363,AP,34550.59,2.06738E-08,Alkaloids,Alkaloids and derivatives,Pyridine alkaloids
2022,corn,leaf,1363,PP,25291.53,2.06738E-08,Alkaloids,Alkaloids and derivatives,Pyridine alkaloids
2022,corn,root,1422,AP,8526.40,0.039537215,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
2022,corn,root,1422,PP,11355.35,0.039537215,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
2022,corn,leaf,1422,AP,2000.08,0.00856812,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
2022,corn,leaf,1422,PP,2263.58,0.00856812,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
2022,corn,leaf,1456,AP,7550.90,0.002618782,Alkaloids,Organoheterocyclic compounds,Dihydrofurans
